datetime,temp,humidity,precip,precipprob,windspeedmean,uvindex
2023-03-10,64.1,74.5,0,0,6.3,7
2023-03-11,74.1,73.1,0,0,7.6,7
2023-03-12,67.2,66.2,0,0,9,7
2023-03-13,58.5,46.4,0,0,8.6,8
2023-03-14,57,49.1,0,0,6,8
2023-03-15,60.2,63.8,0,0,7,6
2023-03-16,69.1,84.5,0.207,100,8.8,5
2023-03-17,49.8,51.5,0.154,100,12,6
2023-03-18,49.5,43.9,0,0,4.6,2
2023-03-19,48.7,50.7,0,0,3.9,8
2023-03-20,49.2,66.4,0,0,5.9,3
2023-03-21,60.2,97.9,0.229,100,6.3,3
2023-03-22,72.2,83.2,0,0,9.4,4
2023-03-23,75,77.5,0,0,10.5,6
2023-03-24,74.2,64,0.052,100,6.1,8
2023-03-25,67,33,0,0,4.8,9
2023-03-26,64.4,72.2,0,0,2.9,8
2023-03-27,68.9,58.7,0,0,6.4,8
2023-03-28,64.5,40.5,0.003,100,11.2,8
2023-03-29,62.5,48.3,0,0,6.2,5
2023-03-30,67.8,85.2,0.033,100,8.1,2
2023-03-31,75.9,70.3,0,0,8.1,7
2023-04-01,68,40.3,0,0,4.3,8
2023-04-02,72.4,64.2,0,0,5,3
2023-04-03,78.3,75.7,0,0,7.7,8
2023-04-04,77.8,77,0,0,9.7,6
2023-04-05,69.7,51.7,0,0,11,6
2023-04-06,51.2,85.6,1.644,100,9,1
2023-04-07,51.5,94.6,0.549,100,8.2,1
2023-04-08,57.2,87.8,0,0,4.7,2
2023-04-09,64.2,79.4,0,0,2.9,7
2023-04-10,63.3,81.5,0,0,2,4
2023-04-11,63.7,72.5,0,0,3.1,8
2023-04-12,64.4,65.9,0,0,2.7,9
2023-04-13,66.4,67.9,0,0,4.7,8
2023-04-14,68.7,83.2,0,0,7.3,4
2023-04-15,75.7,63.3,0.013,100,6.6,9
2023-04-16,65.4,39.3,0,0,9.3,9
2023-04-17,64.5,52,0,0,5,9
2023-04-18,69.2,73.6,0.008,100,8.9,5
2023-04-19,73.6,78.8,0,0,9.5,3
2023-04-20,75.3,82.3,0.152,100,8,7
2023-04-21,69.6,75.2,0.212,100,4.9,9
2023-04-22,65.2,71.7,0,0,5.9,9
2023-04-23,58.4,75.7,0.006,100,11,4
2023-04-24,60.5,77.9,0,0,6.5,8
2023-04-25,66.3,92.7,0.069,100,3.7,4
2023-04-26,74.5,88.8,0.049,100,7.3,9
2023-04-27,69.4,71.1,0.492,100,5.7,9
2023-04-28,67.7,83,0.521,100,7.1,8
2023-04-29,63.5,52,0,0,10.1,9
2023-04-30,70.7,46.4,0,0,6.3,9
2023-05-01,70.8,53.8,0,0,4.7,8
2023-05-02,72.4,75,0,0,4.5,7
2023-05-03,73.6,70.1,0,0,4,9
2023-05-04,74.3,81.8,0,0,5.6,6
2023-05-05,81.3,74,0.004,100,7.7,8
2023-05-06,77.3,76.3,0,0,6.9,5
2023-05-07,77.6,72,0,0,7.2,6
2023-05-08,78.1,74.7,0,0,6.2,9
2023-05-09,72.1,86.7,0.133,100,4.3,4
2023-05-10,73.2,84.1,0.073,100,3.9,6
2023-05-11,79.6,79.8,0,0,7.4,8
2023-05-12,79.8,80.6,0.003,100,8.6,4
2023-05-13,68.6,91.4,1.975,100,4.1,3
2023-05-14,72.9,84.4,0.045,100,1.7,7
2023-05-15,74.3,82.6,0.747,100,2.9,6
2023-05-16,73.9,81.7,0.038,100,2.9,9
2023-05-17,76.3,67.5,0,0,2.2,9
2023-05-18,77.4,68.4,0,0,2.6,9
2023-05-19,79.8,69.4,0,0,5.8,9
2023-05-20,74.1,73.9,0.059,100,6.4,9
2023-05-21,70.1,77,0.038,100,2.5,3
2023-05-22,73.4,74.1,0,0,2,6
2023-05-23,78.5,70,0,0,4,8
2023-05-24,73.3,77.5,0.853,100,5.9,6
2023-05-25,75,73.3,0,0,3.2,7
2023-05-26,76.7,66.8,0,0,2.8,8
2023-05-27,76.1,69,0,0,3.1,7
2023-05-28,76.8,68,0,0,4.9,7
2023-05-29,76.5,71.6,0.008,100,3.6,6
2023-05-30,77.8,68.8,0,0,3.5,9
2023-05-31,78.9,67.8,0,0,4.7,9
2023-06-01,79.6,69.8,0,0,6.5,9
2023-06-02,79.9,68.1,0,0,5.5,9
2023-06-03,80.1,56.4,0.154,100,5.4,8
2023-06-04,73.5,73.8,0.007,100,2.5,6
2023-06-05,75.1,75.9,0.483,100,3.1,9
2023-06-06,76.7,71.4,0,0,1.6,9
2023-06-07,79.7,66.2,0,0,1.5,9
2023-06-08,79.5,69.4,0.007,100,2.9,8
2023-06-09,83.6,66.7,0,0,3.2,8
2023-06-10,84.3,65.1,0.223,100,8,9
2023-06-11,84.4,63.7,0,0,7.3,9
2023-06-12,85.6,67.4,0,0,7.7,9
2023-06-13,84.9,71.1,0,0,7.3,7
2023-06-14,86,69.2,0,0,6.1,8
2023-06-15,88,70.5,0,0,7.2,8
2023-06-16,88.5,67.1,0.023,100,7.4,8
2023-06-17,87,72.6,0,0,5.8,8
2023-06-18,89.9,64.4,0,0,8.1,8
2023-06-19,89.2,66,0,0,7,8
2023-06-20,89.9,64.1,0,0,7.2,8
2023-06-21,86.9,70.8,0.266,100,6.4,8
2023-06-22,82.6,69.7,0.076,100,5.1,8
2023-06-23,86.7,68.9,0,0,6.1,8
2023-06-24,88.2,64.2,0,0,8.1,9
2023-06-25,88.7,63.4,0,0,8.9,9
2023-06-26,88.8,62.5,0,0,8.2,9
2023-06-27,88.9,60.8,0,0,7.6,9
2023-06-28,88,59.3,0,0,8.1,9
2023-06-29,87.9,59.6,0,0,8,9
2023-06-30,87.4,59.8,0,0,7.8,9
2023-07-01,87,63.3,0,0,6.6,8
2023-07-02,86.3,56.5,0,0,3.6,7
2023-07-03,87.4,57.1,0,0,5.3,8
2023-07-04,85.2,64.7,0,0,6.3,7
2023-07-05,86.5,65.8,0,0,7.7,8
2023-07-06,83,72.8,0.051,100,6.6,7
2023-07-07,82.6,70.1,0,0,5.8,8
2023-07-08,88,61.1,0,0,5.9,9
2023-07-09,89.3,58.5,0,0,8,9
2023-07-10,90.3,58,0,0,6.6,9
2023-07-11,89.9,59.6,0,0,8.5,8
2023-07-12,91.2,56.7,0,0,9.6,9
2023-07-13,91,58.4,0,0,9.1,9
2023-07-14,90.6,57.5,0,0,9.7,9
2023-07-15,90.8,54.4,0,0,7.5,9
2023-07-16,90.3,53.6,0,0,5.9,8
2023-07-17,91.2,45.3,0,0,6.9,9
2023-07-18,91.4,51.6,0,0,7.8,9
2023-07-19,90.7,54.3,0,0,8.3,9
2023-07-20,90.3,53.4,0,0,6.8,9
2023-07-21,89,52.9,0,0,5.3,8
2023-07-22,89.8,51.6,0.008,100,3.3,8
2023-07-23,91.4,47.6,0,0,4.5,9
2023-07-24,89.1,51.7,0,0,3.4,9
2023-07-25,89,55.2,0,0,5,8
2023-07-26,89.3,56.3,0,0,6.7,9
2023-07-27,88.5,53.7,0,0,6.8,9
2023-07-28,88.6,51.4,0,0,5.1,8
2023-07-29,88.6,47,0,0,5,8
2023-07-30,90,49,0,0,4.1,9
2023-07-31,91.7,47.5,0,0,5.3,9
2023-08-01,89.7,51.8,0,0,4.7,8
2023-08-02,91.2,46,0,0,6.1,9
2023-08-03,90,55.2,0,0,7,8
2023-08-04,90.9,54.1,0,0,7.4,8
2023-08-05,91.2,50.5,0,0,7.6,9
2023-08-06,90.3,55.1,0,0,7.9,8
2023-08-07,91.2,53.7,0,0,7.9,8
2023-08-08,90.6,55.7,0,0,9.2,8
2023-08-09,90.5,58.1,0,0,10.1,8
2023-08-10,91.2,56.2,0,0,9.6,8
2023-08-11,91.3,55.6,0,0,9.7,8
2023-08-12,91,57.4,0,0,9.8,8
2023-08-13,91,56.6,0,0,8.8,9
2023-08-14,90.4,52.4,0,0,5.5,8
2023-08-15,89.9,39.8,0,0,5.9,8
