name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Austin, TX USA",2024-03-10,67.5,42.7,56.7,67.5,42.7,56.6,35.9,48.5,0,0,0,,0,0,13.4,7.7,61.9,1024.4,18.5,9.9,217.5,18,8,10,2024-03-10T07:46:03,2024-03-10T19:36:32,0,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-03-11,73.5,54.4,63.1,73.5,54.4,63.1,43.8,50.6,0,0,0,,0,0,19.2,12.2,168.3,1022,39.2,9.9,220.1,19.1,8,10,2024-03-11T07:44:52,2024-03-11T19:37:11,0.04,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-03-12,76.7,57.1,66.3,76.7,57.1,66.3,58.5,77.1,0,0,0,rain,0,0,28,13.7,171.4,1016.4,80.7,9,104,8.9,5,10,2024-03-12T07:43:40,2024-03-12T19:37:50,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-03-13,82.3,66.8,72.8,84.6,66.8,73.2,64.6,76.6,0,0,0,rain,0,0,26.4,12.2,173.3,1009.2,85.4,9.6,122.7,10.4,6,75,2024-03-13T07:42:29,2024-03-13T19:38:29,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-03-14,79.1,70.3,74.1,79.1,70.3,74.1,67.6,80.4,0.009,100,4.17,rain,0,0,28.9,12.3,157,1007.7,98.7,7.4,70.7,6.3,3,100,2024-03-14T07:41:17,2024-03-14T19:39:07,0.15,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-03-15,74,65.7,69.3,74,65.7,69.3,63.2,81.5,0.194,100,12.5,rain,0,0,31.1,16.6,14.3,1013.3,85.4,7.8,121.6,10.5,5,75,2024-03-15T07:40:04,2024-03-15T19:39:46,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-03-16,72.6,62,65.8,72.6,62,65.8,61.7,86.9,0.076,100,12.5,rain,0,0,21.9,9.8,26.4,1013.9,98.2,7.5,71,6.1,5,10,2024-03-16T07:38:52,2024-03-16T19:40:24,0.25,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-03-17,66.1,60.2,62.8,66.1,60.2,62.8,59.8,90,0.676,100,33.33,rain,0,0,32.2,17.7,356.4,1013.6,94.7,8.6,45.3,3.8,3,10,2024-03-17T07:37:39,2024-03-17T19:41:02,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-03-18,64.8,55.5,59.6,64.8,55.5,59.6,39.5,48.2,0,0,0,,0,0,32.2,18.5,22.3,1022.6,50.5,9.9,142.3,12.4,5,10,2024-03-18T07:36:26,2024-03-18T19:41:40,0.28,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,72254013904,72254413958,D9418"
"Austin, TX USA",2024-03-19,66.1,45.4,55.5,66.1,45.4,55.4,36.8,50.9,0,0,0,,0,0,16.1,13.1,170.1,1023.2,54.8,9.9,177.3,15.3,6,10,2024-03-19T07:35:13,2024-03-19T19:42:18,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-03-20,66.6,51.1,59.2,66.6,51.1,59.2,49.5,70.4,0,0,0,,0,0,20.4,10,184.9,1017.6,94.4,9.8,94.5,8.3,4,10,2024-03-20T07:34:00,2024-03-20T19:42:55,0.35,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-03-21,63.2,59,61.2,63.2,59,61.2,58.5,90.9,0.15,100,41.67,rain,0,0,29.8,13,62.5,1012.8,96.4,7.1,33.3,2.9,2,10,2024-03-21T07:32:47,2024-03-21T19:43:33,0.38,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
